restaurant_name,location,cuisines,rate,approx_cost_for_two,online_order,book_table,price_segment,rating_category
Tandoori Knight,Banashankari,"North Indian, Chinese, Biryani, Kebab",3.0,450,Yes,No,Low,Average
Dev Sagar - Food Street,Basavanagudi,Street Food,4.1,200,Yes,No,Low,High Rating
Mitraa Da Pizza,Kumaraswamy Layout,"Fast Food, Pizza",3.8,250,Yes,No,Low,Average
Grazers,Jayanagar,"Cafe, Burger, Continental, Italian, Desserts",3.9,650,Yes,Yes,Mid,Average
Shakes Theory,Jayanagar,"Beverages, Sandwich",4.5,300,Yes,No,Low,High Rating
@Italy,Kumaraswamy Layout,Italian,4.1,700,Yes,No,Mid,High Rating
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,150,Yes,No,Low,Average
Donne Biriyani House,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.9,400,Yes,No,Low,Average
Kedia's Fun Food,Jayanagar,"North Indian, Street Food, Juices",4.3,200,Yes,No,Low,High Rating
Just Shawarma,Kumaraswamy Layout,Arabian,3.9,300,Yes,No,Low,Average
Mini Punjabi Dhaba,Banashankari,North Indian,4.2,350,Yes,No,Low,High Rating
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,500,Yes,No,Low,High Rating
Gokul Veg,Basavanagudi,"North Indian, Chinese, Beverages",3.8,750,Yes,No,Mid,Average
Olive - Era,Kumaraswamy Layout,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",3.3,550,Yes,No,Mid,Average
Gama Gama,Banashankari,South Indian,3.9,200,Yes,No,Low,Average
The Vintage Cafe,Banashankari,"Cafe, French, North Indian",3.0,400,Yes,No,Low,Average
Pizza Hut,Banashankari,"Pizza, Fast Food",3.8,750,Yes,No,Mid,Average
Mangalore Pearl,Jayanagar,"Mangalorean, Seafood, Chinese, Biryani",3.8,650,Yes,No,Mid,Average
Twiststick House,Basavanagudi,"Continental, Fast Food, Street Food, Momos",4.1,500,Yes,No,Low,High Rating
Cool Corner,Basavanagudi,"Street Food, Fast Food",4.2,250,Yes,No,Low,High Rating
Pizza Mane,Banashankari,"Pizza, Sandwich, Burger, Fast Food",3.5,150,Yes,No,Low,Average
Dal Tadkaa,Banashankari,North Indian,2.5,500,Yes,No,Low,Low Rating
Chutney Chang,Jayanagar,"North Indian, Chinese, BBQ",4.1,1500,Yes,Yes,Premium,High Rating
Mystique Palate,Jayanagar,"Chinese, Fast Food",4.1,300,Yes,No,Low,High Rating
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9,800,Yes,No,Mid,Average
Castle Rock,Uttarahalli,"North Indian, Chinese",3.6,700,Yes,No,Mid,Average
Vietnamese Kitchen,Banashankari,Vietnamese,3.6,700,Yes,No,Mid,Average
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550,Yes,No,Mid,High Rating
Toscano,Jayanagar,"Italian, Salad",4.3,1300,Yes,Yes,Premium,High Rating
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3,500,Yes,No,Low,High Rating
Central Jail Restaurant,Jayanagar,"Andhra, Seafood, North Indian, Chinese",3.8,700,Yes,No,Mid,Average
Bella,Jayanagar,"Mangalorean, Seafood, South Indian",3.9,1000,Yes,Yes,Mid,Average
New Prashanth Hotel,Jayanagar,"South Indian, Biryani, Chinese, North Indian",3.6,750,Yes,No,Mid,Average
Karma Kaapi,Jayanagar,"Beverages, Tea",4.4,250,Yes,No,Low,High Rating
Tiwari's,Jayanagar,"North Indian, Street Food",3.8,200,Yes,No,Low,Average
Pizza Stop,Basavanagudi,"Pizza, Italian",3.8,600,Yes,No,Mid,Average
Biggies Burger 'n' More,Kumaraswamy Layout,"Cafe, Burger, Beverages",3.6,650,Yes,No,Mid,Average
Srinathji's Cafe,Basavanagudi,"North Indian, Cafe, Chinese, Fast Food",3.8,550,No,No,Mid,Average
Kollapuri's,Basavanagudi,"South Indian, Mangalorean",3.9,450,No,No,Low,Average
RS Shiv Sagar,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food, Juices",3.7,450,No,No,Low,Average
Harshi Super Sandwich,Basavanagudi,"Fast Food, Street Food",3.8,150,No,No,Low,Average
Ugadi,Jayanagar,"North Indian, Chinese, Biryani, Andhra, Mangalorean",2.9,700,Yes,No,Mid,Low Rating
Subway,Banashankari,"Salad, Fast Food",3.7,600,Yes,No,Mid,Average
The Lassi Park,Jayanagar,"Juices, Desserts",4.1,200,Yes,No,Low,High Rating
A2B - Adyar Ananda Bhavan,Mysore Road,"South Indian, North Indian, Chinese, Street Food",3.8,400,Yes,No,Low,Average
Srikrishna Bhavan,Banashankari,"South Indian, North Indian, Chinese",3.8,300,Yes,No,Low,Average
Timepass Dinner,Basavanagudi,North Indian,3.8,600,Yes,No,Mid,Average
Green Gardenia,Banashankari,"North Indian, Chinese",3.8,700,Yes,No,Mid,Average
J Spice,Banashankari,"North Indian, Chinese",3.8,750,Yes,No,Mid,Average
Hatti Kaapi,Jayanagar,"South Indian, Beverages",4.0,200,Yes,No,Low,High Rating
Upahara Darshini,Basavanagudi,"North Indian, Chinese, South Indian, Fast Food",3.9,600,Yes,No,Mid,Average
The Chaat Shop,Basavanagudi,Fast Food,2.5,200,Yes,No,Low,Low Rating
My Tea House,Banashankari,"Italian, Fast Food, Cafe, European",3.6,600,Yes,No,Mid,Average
Samskruti - Sanman Gardenia,Jayanagar,"North Indian, Chinese, South Indian",4.1,550,Yes,No,Mid,High Rating
Chumma Delicious,Banashankari,"South Indian, Fast Food",3.7,200,Yes,No,Low,Average
New Prashanth Hotel,Banashankari,"Biryani, North Indian, Seafood, Andhra",3.9,650,Yes,No,Mid,Average
Dwaraka Grand,Kumaraswamy Layout,"South Indian, Chinese, Street Food, Juices",3.9,500,Yes,No,Low,Average
Gufha - The President Hotel,Jayanagar,"North Indian, Afghani, Mughlai",4.1,1200,Yes,Yes,Premium,High Rating
Cafe Vivacity,Banashankari,Cafe,3.8,650,Yes,No,Mid,Average
Mojo Pizza - 2X Toppings,Banashankari,Pizza,4.2,600,Yes,No,Mid,High Rating
South Kitchen,Basavanagudi,South Indian,4.3,100,Yes,No,Low,High Rating
Chung Wah,Jayanagar,"Chinese, Thai, Momos",3.7,850,Yes,No,Mid,Average
Prems Graama Bhojanam,Jayanagar,South Indian,4.3,400,Yes,No,Low,High Rating
Java City,Jayanagar,"Cafe, American, Pizza",2.6,450,Yes,No,Low,Low Rating
Kamat Bugle Rock,Basavanagudi,"South Indian, Fast Food",3.9,300,Yes,No,Low,Average
Woodee Pizza,Banashankari,"Cafe, Pizza, Fast Food, Beverages",3.7,500,Yes,No,Low,Average
Puliyogare Point,Basavanagudi,South Indian,4.2,100,Yes,No,Low,High Rating
Bangalore Agarwal Bhavan,Jayanagar,"Street Food, North Indian, South Indian",3.9,400,Yes,No,Low,Average
Rustic Stove,Jayanagar,"North Indian, South Indian, Biryani, Beverages",3.8,900,Yes,No,Mid,Average
De Thaali,Jayanagar,"North Indian, Chinese, Rolls",3.9,550,Yes,No,Mid,Average
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,800,Yes,No,Mid,High Rating
Matru Sagar,Banashankari,"South Indian, North Indian, Chinese",3.6,250,Yes,No,Low,Average
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200,Yes,Yes,Premium,High Rating
Desi Dawat,Kumaraswamy Layout,"North Indian, Fast Food",3.7,400,Yes,No,Low,Average
Cafe Aira,Basavanagudi,"Cafe, Continental, Beverages, Desserts",4.1,500,Yes,No,Low,High Rating
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,700,Yes,No,Mid,High Rating
Mast Punjabi,Kumaraswamy Layout,"North Indian, Chinese, Rolls, Biryani, Kebab",2.6,400,Yes,No,Low,Low Rating
South Grand,Uttarahalli,"South Indian, North Indian, Chinese, Beverages",3.4,400,Yes,No,Low,Average
Catch-up-ino,Banashankari,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800,Yes,No,Mid,Average
The Pizzeria,Banashankari,"Pizza, Italian, Salad",2.8,800,Yes,No,Mid,Low Rating
Ruchis Point,Banashankari,"Fast Food, Chinese",3.8,200,Yes,No,Low,Average
Firangi Bake,Rajarajeshwari Nagar,"Mexican, Italian",4.0,600,Yes,No,Mid,High Rating
The Royal Corner - Pai Viceroy,Jayanagar,"North Indian, Chinese",4.2,900,Yes,Yes,Mid,High Rating
Hara Fine Dine,Banashankari,"North Indian, Chinese",4.0,800,Yes,Yes,Mid,High Rating
Chocoberry,Jayanagar,"Ice Cream, Desserts, Beverages",3.5,400,Yes,No,Low,Average
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9,400,Yes,No,Low,Average
Cross Road Cafe,Jayanagar,"Cafe, Fast Food, Chinese",3.9,300,Yes,No,Low,Average
Bakers Town,Kumaraswamy Layout,"Cafe, Continental, Fast Food",3.8,650,Yes,No,Mid,Average
Ivy,Kumaraswamy Layout,"North Indian, Chinese, Fast Food",3.8,600,Yes,No,Mid,Average
The Airos,Jayanagar,"Cafe, Italian, Pizza",4.1,650,Yes,No,Mid,High Rating
Chai Kraft,Jayanagar,"Beverages, Tea",4.1,100,Yes,No,Low,High Rating
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,700,Yes,No,Mid,Average
The Trundle,Jayanagar,"Chinese, Thai, Continental, North Indian",3.7,700,Yes,No,Mid,Average
The Krishna Grand Xpress,Jayanagar,"South Indian, Fast Food",4.0,350,Yes,No,Low,High Rating
Udupi Grand,Basavanagudi,"South Indian, North Indian, Chinese",3.8,300,Yes,No,Low,Average
Little Cafe,Basavanagudi,"Cafe, Beverages",3.7,600,Yes,No,Mid,Average
1980s Games Cafe,Basavanagudi,"Cafe, Fast Food",3.4,400,Yes,No,Low,Average
Kadala Tarangaa,Banashankari,"Mangalorean, Seafood, North Indian",3.6,600,Yes,No,Mid,Average
As On Fire,South Bangalore,"Pizza, Fast Food, BBQ",3.5,400,Yes,No,Low,Average
Curry Leaves,Basavanagudi,"Andhra, North Indian, Chinese",4.1,800,Yes,No,Mid,High Rating
Magic Meals,Jayanagar,"Fast Food, Desserts, Beverages",3.7,400,Yes,No,Low,Average
Desi Cream Junction,Jayanagar,"Chinese, North Indian, Pizza, Italian",3.7,650,Yes,Yes,Mid,Average
Eat Repeat,Basavanagudi,South Indian,3.9,150,Yes,No,Low,Average
Salut,Jayanagar,"Continental, Finger Food, Seafood, Pizza",4.1,1200,Yes,Yes,Premium,High Rating
Sandwich Mama's And Frozen Monster,Jayanagar,"Ice Cream, Beverages, Fast Food",3.8,250,Yes,No,Low,Average
Food Springs,Jayanagar,"South Indian, Chinese",4.0,400,Yes,No,Low,High Rating
Chung's Chinese Corner,Jayanagar,Chinese,3.9,700,Yes,No,Mid,Average
Eurasia Pasta and Barbeque by Little Italy,Jayanagar,"Italian, Fast Food, Salad, BBQ",4.1,1200,Yes,Yes,Premium,High Rating
Goli Vada Pav No. 1,Basavanagudi,Street Food,3.7,200,Yes,No,Low,Average
Ragoo's,Jayanagar,"Italian, Pizza, North Indian, Salad",3.9,800,Yes,No,Mid,Average
Pure & Natural,Jayanagar,"Fast Food, Continental, Beverages, Salad, Healthy Food",3.9,500,Yes,No,Low,Average
Maiyas,Jayanagar,"North Indian, South Indian, Fast Food, Juices",4.0,200,Yes,No,Low,High Rating
Sip n Dine,Vijay Nagar,"North Indian, Chinese, South Indian",3.6,800,Yes,No,Mid,Average
Cafe Mondo,Basavanagudi,"Cafe, Italian, Beverages",3.7,600,Yes,No,Mid,Average
Jalpaan,Jayanagar,"North Indian, Continental",4.0,900,Yes,Yes,Mid,High Rating
Kataria's Pakwan,Kumaraswamy Layout,North Indian,3.2,400,Yes,No,Low,Average
Juicy Momos,Banashankari,"Tibetan, Momos",3.5,250,Yes,No,Low,Average
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0,300,Yes,No,Low,High Rating
Anand Sweets and Savouries,Jayanagar,"Mithai, Street Food",3.9,400,Yes,No,Low,Average
Chicken Hunt,Banashankari,"South Indian, North Indian, Chinese, Biryani",3.5,350,Yes,No,Low,Average
Swadesh Tadka,Banashankari,"North Indian, Chinese, Beverages",3.5,600,Yes,No,Mid,Average
Cane-O-La,Basavanagudi,Juices,3.8,100,Yes,No,Low,Average
New Biryani Mane,Uttarahalli,"North Indian, Chinese, Biryani, South Indian",3.7,450,Yes,No,Low,Average
Upahara Darshini,Jayanagar,"South Indian, North Indian, Chinese",3.8,400,Yes,No,Low,Average
Karnataka Bhel House,Basavanagudi,Street Food,4.1,100,Yes,No,Low,High Rating
Sreeraj Lassi Bar,Jayanagar,Beverages,4.1,150,Yes,No,Low,High Rating
Bunt's Biriyani Palace,Banashankari,"North Indian, South Indian, Chinese, Biryani, Seafood",3.0,400,Yes,No,Low,Average
Chai Point,Jayanagar,"Tea, Beverages, Fast Food",3.2,250,Yes,No,Low,Average
Janahaar,Banashankari,South Indian,3.8,100,Yes,No,Low,Average
Redberrys,Basavanagudi,"Cafe, Italian",4.0,600,Yes,No,Mid,High Rating
Utsav,Banashankari,"North Indian, Street Food",3.7,200,Yes,No,Low,Average
The Spice Saga,Kumaraswamy Layout,"Biryani, North Indian, Chinese, Seafood",3.7,750,Yes,No,Mid,Average
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,800,Yes,Yes,Mid,High Rating
Subz,Jayanagar,"North Indian, South Indian",4.2,1000,Yes,Yes,Mid,High Rating
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,600,Yes,Yes,Mid,High Rating
Mint and Mustard,Basavanagudi,"North Indian, Chinese",4.0,750,Yes,No,Mid,High Rating
Punjabi Raswada,Jayanagar,North Indian,3.5,800,Yes,Yes,Mid,Average
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2,800,Yes,Yes,Mid,High Rating
Sukh Sagar,Jayanagar,"South Indian, North Indian, Chinese, Street Food",3.8,450,Yes,No,Low,Average
Andhra Ruchulu,Jayanagar,"Andhra, Biryani, North Indian, Chinese",4.1,1000,Yes,Yes,Mid,High Rating
Steaming Mugs,Basavanagudi,Cafe,3.9,700,Yes,No,Mid,Average
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800,Yes,No,Mid,Average
Rajathadri Food Fort,Jayanagar,"South Indian, North Indian, Chinese, Street Food",4.0,600,Yes,No,Mid,High Rating
Brew Meister,Jayanagar,"North Indian, Continental, Finger Food, American, Asian",4.1,1500,Yes,Yes,Premium,High Rating
Rasoi,Banashankari,"North Indian, Chinese",3.3,300,Yes,No,Low,Average
Mr. Singh Da Dhaba,Kumaraswamy Layout,"North Indian, Chinese",3.6,300,Yes,No,Low,Average
Ayodhya Upachar,Banashankari,"South Indian, North Indian, Chinese, Street Food",4.3,200,Yes,No,Low,High Rating
Biriyani Mane,Jayanagar,"North Indian, Biryani",3.8,400,Yes,No,Low,Average
Cafe Ajfan,Jayanagar,"Cafe, Continental, Beverages",4.2,700,Yes,No,Mid,High Rating
Brundhavana Food Point,Kumaraswamy Layout,"South Indian, North Indian, Chinese, Street Food, Beverages",4.0,300,Yes,No,Low,High Rating
SLV Corner Restaurant,Basavanagudi,"South Indian, Chinese, North Indian, Street Food, Rolls, Juices",4.1,550,Yes,No,Mid,High Rating
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750,Yes,No,Mid,Average
Roti Ghar,Basavanagudi,"North Indian, Chinese, South Indian",3.9,500,Yes,No,Low,Average
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,500,Yes,Yes,Low,High Rating
Baisakhi,Basavanagudi,North Indian,3.8,500,Yes,No,Low,Average
Corner House Ice Cream,Banashankari,"Ice Cream, Desserts",4.3,400,No,No,Low,High Rating
Poonam Sweets,Banashankari,Mithai,4.4,150,No,No,Low,High Rating
Old Mumbai Ice Cream,Banashankari,Ice Cream,3.9,150,Yes,No,Low,Average
Polar Bear,Banashankari,"Ice Cream, Desserts, Beverages, Sandwich",3.9,400,Yes,No,Low,Average
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800,Yes,No,Mid,Average
Kirthi's Biryani,Banashankari,"Chinese, Cafe, Italian",3.8,700,Yes,No,Mid,Average
Stoned Monkey,Banashankari,"Desserts, Ice Cream",4.3,500,Yes,No,Low,High Rating
Floured-Baked With Love,Banashankari,Bakery,3.8,400,No,No,Low,Average
Waffle-A-Go Go,Banashankari,"Fast Food, Desserts, Ice Cream",3.9,400,Yes,No,Low,Average
Sri Venkateshwara Sweet Meat Stall,Basavanagudi,"Mithai, Street Food, North Indian, Chinese",4.0,400,No,No,Low,High Rating
Redberrys,Basavanagudi,"Cafe, Italian",4.0,600,Yes,No,Mid,High Rating
Amande Patisserie,Basavanagudi,"Bakery, French, Desserts",4.0,300,Yes,No,Low,High Rating
A2B Veg - Adyar Ananda Bhavan,Basavanagudi,"South Indian, North Indian, Chinese, Street Food",2.7,400,Yes,No,Low,Low Rating
The Krishna Grand,Banashankari,"North Indian, South Indian, Chinese, Fast Food, Juices",3.9,750,Yes,No,Mid,Average
Sea Spice by 7 Star,Banashankari,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",4.0,1200,Yes,Yes,Premium,High Rating
Mini Punjabi Dhaba,Banashankari,North Indian,4.2,350,Yes,No,Low,High Rating
Onesta,Banashankari,"Pizza, Cafe, Italian",4.6,600,Yes,Yes,Mid,High Rating
Wamama,Banashankari,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",4.2,800,Yes,Yes,Mid,High Rating
Jalsa,Banashankari,"North Indian, Mughlai, Chinese",4.1,800,Yes,Yes,Mid,High Rating
Vinny's,Banashankari,"Pizza, Italian, Continental, Desserts",4.2,800,Yes,Yes,Mid,High Rating
Jcubez,Banashankari,Finger Food,3.8,1300,No,Yes,Premium,Average
Gustoes Beer House,Banashankari,"Continental, Italian, Mexican, North Indian, Chinese, Steak",4.1,1200,No,No,Premium,High Rating
Penthouse Cafe,Banashankari,"Cafe, Italian, Continental",4.0,700,Yes,No,Mid,High Rating
Spice Elephant,Banashankari,"Chinese, North Indian, Thai",4.1,800,Yes,No,Mid,High Rating
Smacznego,Banashankari,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550,Yes,No,Mid,High Rating
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Banashankari,Cafe,4.1,500,Yes,No,Low,High Rating
Cafe Shuffle,Banashankari,"Cafe, Italian, Continental",4.2,600,Yes,Yes,Mid,High Rating
The Coffee Shack,Banashankari,"Cafe, Chinese, Continental, Italian",4.2,500,Yes,Yes,Low,High Rating
Peppy Peppers,Banashankari,"Italian, North Indian, Mexican",4.2,800,No,No,Mid,High Rating
Anna Kuteera,Banashankari,"South Indian, North Indian, Chinese",4.0,450,Yes,No,Low,High Rating
Szechuan Dragon,Banashankari,"Chinese, Thai, Momos",4.2,600,Yes,No,Mid,High Rating
1947,Banashankari,"North Indian, Chinese",4.0,850,No,Yes,Mid,High Rating
Caf-Eleven,Banashankari,"Cafe, Continental",4.0,450,No,No,Low,High Rating
Thamboola,Banashankari,"North Indian, Chinese, Continental",3.9,800,Yes,No,Mid,Average
San Churro Cafe,Banashankari,"Cafe, Mexican, Italian",3.8,800,Yes,No,Mid,Average
Cafe Vivacity,Banashankari,Cafe,3.8,650,Yes,No,Mid,Average
Chung Wah,Banashankari,"Chinese, Momos, Thai, Vietnamese",3.9,900,Yes,No,Mid,Average
